fg_made,ydl,posteam,season,week,kicker
0,16,LA,2010,1,Josh.Brown
1,4,ARI,2010,1,J.Feely
1,28,LA,2010,1,Josh.Brown
1,7,LA,2010,1,Josh.Brown
1,34,PIT,2010,1,J.Reed
0,28,ATL,2010,1,M.Bryant
0,37,PIT,2010,1,J.Reed
1,31,ATL,2010,1,M.Bryant
1,21,ATL,2010,1,M.Bryant
1,18,PIT,2010,1,J.Reed
1,16,PIT,2010,1,J.Reed
1,5,ATL,2010,1,M.Bryant
0,21,PIT,2010,1,J.Reed
1,5,NYJ,2010,1,N.Folk
1,10,NYJ,2010,1,N.Folk
1,7,BAL,2010,1,B.Cundiff
1,30,NYJ,2010,1,N.Folk
1,3,CAR,2010,1,J.Kasay
1,34,CAR,2010,1,J.Kasay
1,25,CAR,2010,1,J.Kasay
1,13,NYG,2010,1,L.Tynes
1,14,NE,2010,1,S.Gostkowski
0,29,NE,2010,1,S.Gostkowski
1,35,CIN,2010,1,M.Nugent
0,37,NE,2010,1,S.Gostkowski
1,30,TB,2010,1,C.Barth
0,44,CLE,2010,1,P.Dawson
1,11,WAS,2010,1,G.Gano
0,16,DAL,2010,1,D.Buehler
1,31,WAS,2010,1,G.Gano
1,27,JAX,2010,1,J.Scobee
1,36,DEN,2010,1,M.Prater
1,2,CHI,2010,1,R.Gould
1,13,CHI,2010,1,R.Gould
1,27,PHI,2010,1,D.Akers
1,31,GB,2010,1,M.Crosby
1,38,GB,2010,1,M.Crosby
1,5,PHI,2010,1,D.Akers
1,12,HOU,2010,1,N.Rackers
1,31,HOU,2010,1,N.Rackers
1,2,IND,2010,1,A.Vinatieri
1,14,MIA,2010,1,D.Carpenter
1,33,BUF,2010,1,R.Lindell
0,28,MIA,2010,1,D.Carpenter
0,45,BUF,2010,1,R.Lindell
1,25,MIA,2010,1,D.Carpenter
1,23,MIN,2010,1,R.Longwell
0,28,NO,2010,1,G.Hartley
0,14,NO,2010,1,G.Hartley
1,16,LV,2010,1,S.Janikowski
1,25,TEN,2010,1,R.Bironas
1,12,LV,2010,1,S.Janikowski
0,35,LV,2010,1,S.Janikowski
1,5,SF,2010,1,J.Nedney
1,6,SF,2010,1,J.Nedney
1,17,SEA,2010,1,O.Mare
1,6,ATL,2010,2,M.Bryant
0,36,ARI,2010,2,J.Feely
1,17,ATL,2010,2,M.Bryant
1,18,CIN,2010,2,M.Nugent
1,12,CIN,2010,2,M.Nugent
1,28,CIN,2010,2,M.Nugent
1,19,BAL,2010,2,B.Cundiff
1,20,CIN,2010,2,M.Nugent
1,7,CIN,2010,2,M.Nugent
1,26,GB,2010,2,M.Crosby
1,6,GB,2010,2,M.Crosby
1,20,CHI,2010,2,R.Gould
1,22,CHI,2010,2,R.Gould
1,10,DAL,2010,2,D.Buehler
0,26,DAL,2010,2,D.Buehler
1,29,DAL,2010,2,D.Buehler
1,23,WAS,2010,2,G.Gano
1,9,WAS,2010,2,G.Gano
0,29,HOU,2010,2,N.Rackers
1,29,HOU,2010,2,N.Rackers
1,26,HOU,2010,2,N.Rackers
0,10,WAS,2010,2,G.Gano
1,25,JAX,2010,2,J.Scobee
1,30,JAX,2010,2,J.Scobee
1,23,LAC,2010,2,N.Kaeding
1,16,KC,2010,2,R.Succop
0,25,CLE,2010,2,P.Dawson
1,8,KC,2010,2,R.Succop
1,5,KC,2010,2,R.Succop
1,11,MIN,2010,2,R.Longwell
0,19,NE,2010,2,S.Gostkowski
1,31,NYJ,2010,2,N.Folk
1,17,NYJ,2010,2,N.Folk
1,28,NO,2010,2,G.Hartley
1,1,NO,2010,2,G.Hartley
1,19,NO,2010,2,G.Hartley
1,20,IND,2010,2,A.Vinatieri
1,31,DET,2010,2,J.Hanson
1,3,TEN,2010,2,R.Bironas
1,18,PIT,2010,2,J.Reed
1,16,PIT,2010,2,J.Reed
1,7,PIT,2010,2,J.Reed
1,9,PIT,2010,2,J.Reed
1,2,DEN,2010,2,M.Prater
0,18,LA,2010,2,Josh.Brown
0,28,LV,2010,2,S.Janikowski
1,20,LV,2010,2,S.Janikowski
1,23,LV,2010,2,S.Janikowski
1,4,LV,2010,2,S.Janikowski
1,6,TB,2010,2,C.Barth
1,15,TB,2010,2,C.Barth
1,5,ATL,2010,3,M.Bryant
1,15,NO,2010,3,G.Hartley
1,21,BUF,2010,3,R.Lindell
1,21,BUF,2010,3,R.Lindell
1,17,BUF,2010,3,R.Lindell
1,25,NE,2010,3,S.Gostkowski
0,33,BUF,2010,3,R.Lindell
1,15,CIN,2010,3,M.Nugent
1,32,CIN,2010,3,M.Nugent
1,21,CLE,2010,3,P.Dawson
0,33,BAL,2010,3,B.Cundiff
1,31,BAL,2010,3,B.Cundiff
1,6,HOU,2010,3,N.Rackers
1,31,DAL,2010,3,D.Buehler
1,12,HOU,2010,3,N.Rackers
1,22,DAL,2010,3,D.Buehler
0,26,DET,2010,3,J.Hanson
1,15,DET,2010,3,J.Hanson
1,13,MIN,2010,3,R.Longwell
0,31,CHI,2010,3,R.Gould
1,20,GB,2010,3,M.Crosby
0,19,GB,2010,3,M.Crosby
1,7,CHI,2010,3,R.Gould
1,1,CHI,2010,3,R.Gould
1,20,IND,2010,3,A.Vinatieri
1,15,IND,2010,3,A.Vinatieri
1,7,DEN,2010,3,M.Prater
1,16,DEN,2010,3,M.Prater
1,27,MIA,2010,3,D.Carpenter
0,43,NYJ,2010,3,N.Folk
1,2,MIA,2010,3,D.Carpenter
1,12,NYJ,2010,3,N.Folk
1,32,MIA,2010,3,D.Carpenter
1,4,LV,2010,3,S.Janikowski
1,24,ARI,2010,3,J.Feely
1,37,LV,2010,3,S.Janikowski
0,23,LV,2010,3,S.Janikowski
1,5,LV,2010,3,S.Janikowski
0,41,LV,2010,3,S.Janikowski
0,14,LV,2010,3,S.Janikowski
1,33,JAX,2010,3,J.Scobee
1,22,TB,2010,3,C.Barth
1,5,TB,2010,3,C.Barth
1,6,PIT,2010,3,J.Reed
1,5,SEA,2010,3,O.Mare
1,11,LAC,2010,3,N.Kaeding
1,5,SEA,2010,3,O.Mare
1,33,SF,2010,3,J.Nedney
0,20,KC,2010,3,R.Succop
1,14,KC,2010,3,R.Succop
1,30,TEN,2010,3,R.Bironas
0,35,NYG,2010,3,L.Tynes
1,32,NYG,2010,3,L.Tynes
0,26,NYG,2010,3,L.Tynes
1,5,TEN,2010,3,R.Bironas
1,11,WAS,2010,3,G.Gano
1,6,WAS,2010,3,G.Gano
0,3,LA,2010,3,Josh.Brown
1,3,WAS,2010,3,G.Gano
1,19,LA,2010,3,Josh.Brown
1,11,LA,2010,3,Josh.Brown
1,18,LA,2010,3,Josh.Brown
0,20,LAC,2010,4,N.Kaeding
1,30,LAC,2010,4,N.Kaeding
1,29,LAC,2010,4,N.Kaeding
1,35,ARI,2010,4,J.Feely
0,28,BAL,2010,4,B.Cundiff
1,15,BAL,2010,4,B.Cundiff
