game_id,home_team,away_team,season_type,week,total_home_score,total_away_score,season,pts_H_minus_A
2018_01_ATL_PHI,PHI,ATL,REG,1,18,12,2018,6
2018_01_BUF_BAL,BAL,BUF,REG,1,47,3,2018,44
2018_01_CHI_GB,GB,CHI,REG,1,24,23,2018,1
2018_01_CIN_IND,IND,CIN,REG,1,23,34,2018,-11
2018_01_DAL_CAR,CAR,DAL,REG,1,16,8,2018,8
2018_01_HOU_NE,NE,HOU,REG,1,27,20,2018,7
2018_01_JAX_NYG,NYG,JAX,REG,1,15,20,2018,-5
2018_01_KC_LAC,LAC,KC,REG,1,28,38,2018,-10
2018_01_LA_OAK,LV,LA,REG,1,13,33,2018,-20
2018_01_NYJ_DET,DET,NYJ,REG,1,17,48,2018,-31
2018_01_PIT_CLE,CLE,PIT,REG,1,21,21,2018,0
2018_01_SEA_DEN,DEN,SEA,REG,1,27,24,2018,3
2018_01_SF_MIN,MIN,SF,REG,1,24,16,2018,8
2018_01_TB_NO,NO,TB,REG,1,40,48,2018,-8
2018_01_TEN_MIA,MIA,TEN,REG,1,27,20,2018,7
2018_01_WAS_ARI,ARI,WAS,REG,1,6,24,2018,-18
2018_02_ARI_LA,LA,ARI,REG,2,34,0,2018,34
2018_02_BAL_CIN,CIN,BAL,REG,2,34,23,2018,11
2018_02_CAR_ATL,ATL,CAR,REG,2,31,24,2018,7
2018_02_CLE_NO,NO,CLE,REG,2,21,18,2018,3
2018_02_DET_SF,SF,DET,REG,2,30,27,2018,3
2018_02_HOU_TEN,TEN,HOU,REG,2,20,17,2018,3
2018_02_IND_WAS,WAS,IND,REG,2,9,21,2018,-12
2018_02_KC_PIT,PIT,KC,REG,2,37,42,2018,-5
2018_02_LAC_BUF,BUF,LAC,REG,2,20,31,2018,-11
2018_02_MIA_NYJ,NYJ,MIA,REG,2,12,20,2018,-8
2018_02_MIN_GB,GB,MIN,REG,2,29,29,2018,0
2018_02_NE_JAX,JAX,NE,REG,2,31,20,2018,11
2018_02_NYG_DAL,DAL,NYG,REG,2,20,13,2018,7
2018_02_OAK_DEN,DEN,LV,REG,2,20,19,2018,1
2018_02_PHI_TB,TB,PHI,REG,2,27,21,2018,6
2018_02_SEA_CHI,CHI,SEA,REG,2,24,17,2018,7
2018_03_BUF_MIN,MIN,BUF,REG,3,6,27,2018,-21
2018_03_CHI_ARI,ARI,CHI,REG,3,14,16,2018,-2
2018_03_CIN_CAR,CAR,CIN,REG,3,31,21,2018,10
2018_03_DAL_SEA,SEA,DAL,REG,3,24,13,2018,11
2018_03_DEN_BAL,BAL,DEN,REG,3,27,14,2018,13
