ID,TEAM,Team_Season,Season End,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,+/-,AST%,AST/TO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,FTA RATE,FT Rate,OPP EFG%,OPP FTA RATE,OPP FT Rate,OPP TOV %,OPP REB %,OPP_FGM,OPP_FGA,OPP_FG%,OPP_3PM,OPP_3PA,OPP_3P%,OPP_FTM,OPP_FTA,OPP_FT%,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_+/-_Per_Game,Possessions,Plus Minus Per Possession,Shooting Factor,Crashing Factor,Protecting Factor,Attacking Factor,Residual W
1,Phoenix Suns,Phoenix Suns2005,2005,82,62,20,0.756,3956,9054,3351,7018,47.7,796,2026,39.3,1556,2080,74.8,967,2652,3619,1927,1125,572,453,342,584,57.5,1.71,30.4,65.6,49,14,53.4,57.1,97.35,0.296,0.221715588486748,47.8,0.237,0.176341730558598,14.1,34.4,40.6,91.3,44.5,6,18,33.5,16.1,21.6,74.4,15,31.1,46.1,21.2,13.8,7.6,4.2,5.5,-7.1,7767.552,0.075184562652429,5.6,96,-0.0999999999999996,4.53738579281503,1.78147231913522
2,Sacramento Kings,Sacramento Kings2005,2005,82,50,32,0.61,3971,8505,3203,6978,45.9,522,1396,37.4,1577,2004,78.7,1023,2455,3478,2005,1073,674,316,365,177,62.6,1.87,31.5,66.7,49.1,13.7,49.6,54.1,94.52,0.287,0.225995987388937,49.3,0.29,0.213947990543735,15.4,33.3,38.9,84.6,45.9,5.7,16.1,35.7,18.1,24.5,73.8,13.4,30.9,44.3,21.5,14.7,7.6,4.5,3.9,-2.2,7593.3696,0.0233098096528845,0.300000000000004,98.2,-1.7,1.20479968452014,4.06939754567648
3,Dallas Mavericks,Dallas Mavericks2005,2005,82,58,24,0.707,3946,8405,3058,6691,45.7,463,1273,36.4,1826,2314,78.9,990,2530,3520,1610,1102,708,461,399,471,52.6,1.46,31.9,67.4,50,14.2,49.2,54.5,94.18,0.346,0.272903900762218,47.2,0.316,0.238095238095238,16.5,32.6,35.9,81.9,43.8,5.5,16.7,33,19.5,25.9,75.4,13.1,30.1,43.2,20.9,15.6,7.1,4.9,5.6,-5.7,7508.3136,0.0627304645346726,2,99.3,-2.3,3.48086626669798,0.583016271145084
4,Miami Heat,Miami Heat2005,2005,82,59,23,0.72,3996,8327,3097,6368,48.6,475,1260,37.7,1658,2466,67.2,887,2639,3526,1791,1127,528,474,264,535,57.8,1.59,29.7,69.8,50.8,14.7,52.4,55.9,91.73,0.387,0.26036432160804,46,0.318,0.242053789731051,14.2,30.2,34.9,81.8,42.7,5.4,15.5,34.8,19.8,26,76,11.2,29.2,40.5,19.8,13.2,7.5,3.2,5.8,-6.5,7385.3184,0.0724410202815359,6.4,99.5,0.5,1.83105318769888,-5.10558027968281
5,Boston Celtics,Boston Celtics2005,2005,82,45,37,0.549,3976,8304,3046,6511,46.8,437,1252,34.9,1775,2323,76.4,909,2438,3347,1810,1297,667,423,402,71,59.4,1.4,30.5,67.1,49.4,16.5,50.1,55.1,94.61,0.357,0.272615573644601,48.1,0.364,0.274292742927429,16.3,32.9,36.1,81.3,44.4,6,16.7,35.6,22.3,29.5,75.3,12.7,29.6,42.3,22.7,15.6,8.7,4.9,5.2,-0.9,7604.2752,0.00933685303761758,2,97.6,0.199999999999999,-0.167716928282785,0.551686843367776
6,Washington Wizards,Washington Wizards2005,2005,82,45,37,0.549,3956,8241,2966,6794,43.7,514,1498,34.3,1795,2476,72.5,1133,2374,3507,1563,1172,716,347,412,-27,52.7,1.33,33.8,66.7,49.7,15,47.4,52.3,94.8,0.364,0.264203709155137,49.8,0.301,0.229647630619684,16.7,33.3,37.8,82.3,45.9,6.4,17.5,36.4,18.9,24.8,76.2,12.4,30.6,43,23,15.9,7.1,5,4.2,0.3,7605.5424,-0.00355004266362383,-2.4,100.5,-1.7,3.45560785354528,4.34259839283858
7,Toronto Raptors,Toronto Raptors2005,2005,82,33,49,0.402,3961,8178,2952,6656,44.4,648,1681,38.5,1626,2101,77.4,844,2444,3288,1670,1087,621,317,360,-133,56.6,1.54,26.9,68.2,47.3,14,49.2,53.9,94.01,0.316,0.244290865384615,49.9,0.323,0.23960880195599,15.2,31.8,38.2,81.8,46.7,5.3,14.9,35.6,19.6,26.4,74.4,12.1,33.2,45.3,22.1,14.4,6.2,4.4,3.9,1.6,7510.5024,-0.0177085357165987,-0.699999999999996,95.1,-1.2,0.468206342862515,-2.78860882870889
8,Denver Nuggets,Denver Nuggets2005,2005,82,49,33,0.598,3951,8161,3038,6615,45.9,320,940,34,1765,2313,76.3,967,2473,3440,1958,1224,750,489,458,166,64.5,1.6,31.3,67.8,49.7,15.7,48.3,53.5,94.68,0.35,0.26681783824641,48.2,0.331,0.246898263027295,17.2,32.2,36,80.6,44.7,5.6,16.4,34.5,19.9,26.7,74.6,11.9,29.8,41.7,21.7,16.4,7.8,5.6,6,-2,7574.1312,0.0219167051133205,0.0999999999999943,99.1,-1.5,1.99195752191144,2.62376398150118
9,Orlando Magic,Orlando Magic2005,2005,82,36,46,0.439,3941,8160,3034,6679,45.4,320,916,34.9,1772,2335,75.9,1038,2544,3582,1583,1322,633,441,354,-184,52.2,1.2,32.8,68.2,50.7,16.8,47.8,52.9,96.15,0.35,0.265309178020662,48.4,0.338,0.254807692307692,15.1,31.8,37.6,83.2,45.1,5.4,15.7,34.3,21.2,28.1,75.4,12.5,29.6,42.1,21.3,14.5,8.5,4.3,5.4,2.2,7670.784,-0.0239871178747831,-0.600000000000001,101,1.7,1.05014857129695,0.450272010817926
10,Philadelphia 76ers,Philadelphia 76ers2005,2005,82,43,39,0.524,3971,8128,2946,6736,43.7,505,1453,34.8,1731,2194,78.9,909,2536,3445,1710,1274,756,321,383,-61,58,1.34,28.1,70.3,49.1,16,47.5,52.8,96.56,0.326,0.256977434679335,48.5,0.347,0.266418835192069,17.4,29.7,35.7,80.7,44.3,6.9,19,36.2,21.5,28,76.7,11.6,32.5,44.1,22.9,17,8.3,4.7,3.9,0.7,7743.7056,-0.00787736558579913,-1,98.4,-1.4,-0.944140051273445,4.2261483101898
