ydl,next_ydl,season,punter,pq
62,86,2015,S.Koch,0.6448392063711033
85,53,2015,S.Koch,0.654546505431793
86,73,2015,S.Koch,0.6476781575992782
72,65,2015,B.Colquitt,0.1472446357017136
65,85,2015,B.Colquitt,0.14191953417446576
85,55,2015,S.Koch,0.6713928860015225
73,60,2015,B.Colquitt,0.1563860646577642
78,84,2015,B.Colquitt,0.14512804586503059
76,86,2015,S.Koch,0.6673559317181728
75,70,2015,B.Colquitt,0.17603502888160702
65,96,2015,S.Koch,0.6957035450270049
76,70,2015,B.Anger,0.41890796234069116
74,36,2015,B.Anger,0.4251728118803012
71,80,2015,B.Nortman,0.1871518680781878
48,80,2015,B.Nortman,0.20210412216481857
56,81,2015,B.Anger,0.3789950081978845
58,89,2015,B.Nortman,0.19222710592825668
90,55,2015,B.Anger,0.3761703709242335
49,85,2015,B.Nortman,0.20404976316061002
61,93,2015,B.Anger,0.38042442798513876
75,59,2015,M.King,0.24387219343633929
63,69,2015,M.King,0.23355028694243715
44,93,2015,K.Huber,0.8983035590346051
53,92,2015,M.King,0.2217386103001199
69,61,2015,M.King,0.23296124331548138
73,66,2015,K.Huber,0.901888882942716
73,71,2015,K.Huber,0.8956502264145989
63,85,2015,M.King,0.21724708822296218
48,80,2015,M.King,0.22884193119035184
71,59,2015,K.Huber,0.8967318267991563
87,55,2015,K.Huber,0.8775221138460385
46,91,2015,R.Quigley,0.008757299195151091
82,77,2015,A.Lee,0.935612195404425
97,35,2015,R.Quigley,0.014764545261460293
73,76,2015,A.Lee,0.9580881420943269
52,80,2015,R.Quigley,3.206709583653802e-4
85,53,2015,M.Scifres,0.6008063838218705
49,87,2015,S.Martin,0.2812113041443163
64,78,2015,S.Martin,0.28178398620226536
86,46,2015,M.Scifres,0.5942067365974051
54,83,2015,S.Martin,0.2840861887381621
64,70,2015,S.Martin,0.2827592179653795
41,86,2015,S.Martin,0.2733940425344059
54,80,2015,T.Masthay,0.24276759280832266
79,77,2015,P.O'Donnell,-0.3907448260292797
91,41,2015,T.Masthay,0.23727377683716863
63,73,2015,P.McAfee,0.7002089586385675
53,91,2015,C.Schmidt,-0.2263669883666757
75,66,2015,P.McAfee,0.6918952395417969
52,92,2015,C.Schmidt,-0.21436164008398717
82,66,2015,P.McAfee,0.6895379068994154
87,75,2015,C.Schmidt,-0.20179608101910765
75,71,2015,P.McAfee,0.697208285045767
72,26,2015,C.Schmidt,-0.16953887247341903
53,80,2015,C.Schmidt,-0.23013475277405848
43,93,2015,D.Colquitt,0.7939946145527348
47,83,2015,S.Lechler,0.6631633900118599
77,52,2015,S.Lechler,0.6547676120960382
79,47,2015,S.Lechler,0.6350430690708055
48,80,2015,D.Colquitt,0.7977466824196919
57,80,2015,S.Lechler,0.6109957596801896
71,82,2015,D.Colquitt,0.7848914533818557
80,52,2015,S.Lechler,0.6065598530660123
37,80,2015,D.Colquitt,0.799770634993982
64,89,2015,D.Colquitt,0.7837854351509719
71,71,2015,S.Lechler,0.5913776559154774
47,93,2015,D.Colquitt,0.7996135704282005
91,41,2015,S.Lechler,0.5911884665288604
56,77,2015,D.Colquitt,0.8051136688703657
70,77,2015,M.Darr,-0.45785800717580255
50,80,2015,M.Darr,-0.4454311329765546
42,87,2015,T.Way,-0.17862082814584385
69,66,2015,M.Darr,-0.4507374947220949
36,80,2015,T.Way,-0.17904495041207252
85,65,2015,T.Way,-0.19001717837297455
78,69,2015,M.Darr,-0.45574409249439196
51,88,2015,B.Pinion,-0.45785800717580255
97,57,2015,J.Locke,0.02509475260188165
75,68,2015,B.Pinion,-0.4506971653124663
54,77,2015,J.Locke,0.04267110723423536
67,82,2015,B.Pinion,-0.4444259104785626
59,93,2015,J.Locke,0.03380433551293124
52,84,2015,J.Locke,0.053330868812193344
62,68,2015,D.Butler,0.09046533778430622
52,88,2015,T.Morstead,0.8701435672877224
57,89,2015,D.Butler,0.07670387711980652
76,63,2015,T.Morstead,0.8714553494117159
75,70,2015,D.Butler,0.08805974445249265
57,70,2015,T.Morstead,0.8652527729339223
38,97,2015,D.Butler,0.0945528401895851
93,57,2015,T.Morstead,0.8449674539934078
60,97,2015,C.Jones,-0.058162268957136394
80,63,2015,B.Wing,-0.29763602289512403
63,87,2015,B.Wing,-0.29226130067977774
71,92,2015,B.Wing,-0.27520329031586066
73,77,2015,C.Jones,-0.031229788787318434
38,88,2015,B.Wing,-0.24044550772517728
76,75,2015,D.Jones,0.7889193485943156
80,66,2015,D.Jones,0.8006232048326916
60,80,2015,D.Jones,0.8048800690874194
85,53,2015,M.Bosher,0.5151624257567131
42,88,2015,D.Jones,0.8027145212248982
70,94,2015,M.Bosher,0.5089909983225736
85,46,2015,D.Jones,0.7988415349378227
