fg_made,ydl,posteam,season,week,kicker,kq
0,16,LA,2010,1,Josh.Brown,-0.2579476305959853
1,4,ARI,2010,1,J.Feely,0.08519875913113824
1,28,LA,2010,1,Josh.Brown,-0.3326662340590019
1,7,LA,2010,1,Josh.Brown,-0.3033077716314577
1,34,PIT,2010,1,J.Reed,-0.1005643553290828
0,28,ATL,2010,1,M.Bryant,-0.22593547108346052
0,37,PIT,2010,1,J.Reed,-0.05987249820483024
1,31,ATL,2010,1,M.Bryant,-0.28494908501930605
1,21,ATL,2010,1,M.Bryant,-0.25089948055149097
1,18,PIT,2010,1,J.Reed,-0.09583705652162469
1,16,PIT,2010,1,J.Reed,-0.08080937184032502
1,5,ATL,2010,1,M.Bryant,-0.23094227581126012
0,21,PIT,2010,1,J.Reed,-0.06857524404860797
1,5,NYJ,2010,1,N.Folk,-0.3646197230440075
1,10,NYJ,2010,1,N.Folk,-0.3620178512152674
1,7,BAL,2010,1,B.Cundiff,-0.835688665125432
1,30,NYJ,2010,1,N.Folk,-0.35537713705003443
1,3,CAR,2010,1,J.Kasay,0.5210559190430828
1,34,CAR,2010,1,J.Kasay,0.5181516056124441
1,25,CAR,2010,1,J.Kasay,0.5557498829319889
1,13,NYG,2010,1,L.Tynes,-0.3746519464809212
1,14,NE,2010,1,S.Gostkowski,-0.1679785567302903
0,29,NE,2010,1,S.Gostkowski,-0.15787690606255023
1,35,CIN,2010,1,M.Nugent,-0.6058699784089256
0,37,NE,2010,1,S.Gostkowski,-0.2157845770866259
1,30,TB,2010,1,C.Barth,-0.42220712820241535
0,44,CLE,2010,1,P.Dawson,-0.012050060358908843
1,11,WAS,2010,1,G.Gano,-0.35444222420693583
0,16,DAL,2010,1,D.Buehler,-0.41473907278889516
1,31,WAS,2010,1,G.Gano,-0.34682475884616887
1,27,JAX,2010,1,J.Scobee,-0.4649510965339215
1,36,DEN,2010,1,M.Prater,-0.440245410213531
1,2,CHI,2010,1,R.Gould,0.37065355083285767
